 7up, 7 up
 AmstelMalta, Amstel Malta
 BetaMalt, Beta Malt
 ChocoMalt, Choco Malt
 CocaColaGlass, Coca Guinness
 CocaColaPlastic, Coca Guinness
 Djino, D'jino
 DrMalt, Dr Malt
 Dubic, Dubic
 FantaGlass, Fanta Glass
 FantaPlastic, Fanta Plastic
 GiantMalt, Giant Malt
 HiMalt, Hi Malt
 MaltaHerbs, Malta Herbs
 MaltaTonic, Malta Tonic
 Maltina, Maltina
 MaltinaGold, Maltina Gold
 Mirinda, Mirinda
 Orangina, Orangina
 Pepsi, Pepsi
 PlanetPomme, Planet (Pomme)
 PowerMalt, Power Malt
 RastaChocoMalt, Rasta Guinness
 RushEnergy, Rush Energy
 SofiCoffee, Sofi Coffee
 SofiMalt, Sofi Malt
 TopAnanas, Top (Ananas)
 MaltaBiggerCharater1, Malta Guinness
 MaltaBiggerCharater2, Malta Guinness
 MaltaBiggerCharater3, Malta Guinness
 MaltaBiggerCharater4, Malta Guinness
 MaltaBiggerCharater5, Malta Guinness
 MaltaBiggerCharater6, Malta Guinness
 MaltaBrightSpark1, Malta Guinness
 MaltaBrightSpark2, Malta Guinness
 MaltaBrightSpark3, Malta Guinness
 MaltaBrightSpark4, Malta Guinness
 MaltaBrightSpark5, Malta Guinness
 MaltaBrightSpark6, Malta Guinness
 MaltaCurrent1, Malta Guinness
 MaltaCurrent2, Malta Guinness
 MaltaCurrent3, Malta Guinness
 MaltaCurrent4, Malta Guinness
 MaltaCurrent5, Malta Guinness
 MaltaCurrent6, Malta Guinness
 MaltaPremiumVitality1, Malta Guinness
 MaltaPremiumVitality2, Malta Guinness
 MaltaPremiumVitality3, Malta Guinness
 MaltaPremiumVitality4, Malta Guinness
 MaltaPremiumVitality5, Malta Guinness
 MaltaPremiumVitality6, Malta Guinness
 MaltaReinvigorated1, Malta Guinness
 MaltaReinvigorated2, Malta Guinness
 MaltaReinvigorated3, Malta Guinness
 MaltaReinvigorated4, Malta Guinness
 MaltaReinvigorated5, Malta Guinness
 MaltaReinvigorated6, Malta Guinness
 MaltaUpliftingSpirit1, Malta Guinness
 MaltaUpliftingSpirit2, Malta Guinness
 MaltaUpliftingSpirit3, Malta Guinness
 MaltaUpliftingSpirit4, Malta Guinness
 MaltaUpliftingSpirit5, Malta Guinness
 MaltaUpliftingSpirit6, Malta Guinness
